Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

-9.27199960	-0.00125126	-0.00161748	-0.00027467	-0.00213630
-9.26399960	-0.00399793	-0.00161748	-0.00051881	-0.00088504
-9.25599960	-0.00375378	-0.00222785	0.00036622	-0.00262459
-9.24799960	-0.00015259	-0.00494400	-0.00408948	0.00259407
-9.23999960	-0.00213630	-0.00076296	0.00122074	-0.00051881
-9.23199960	-0.00412000	-0.00051881	0.00048830	-0.00100711
-9.22399960	-0.00427259	-0.00384533	-0.00015259	0.00109867
-9.21599960	-0.00549333	-0.00299081	-0.00274667	0.00134281
-9.20799960	-0.00524918	-0.00579852	-0.00112919	0.00073244
-9.19999960	-0.00512711	-0.00088504	-0.00015259	0.00408948
-9.19199960	-0.00363170	-0.00311289	0.00024415	-0.00125126
-9.18399960	-0.00488296	-0.00469985	0.00122074	-0.00076296
-9.17599960	-0.00302133	-0.00384533	-0.00027467	0.00384533
-9.16799960	-0.00601215	0.00207526	-0.00039674	0.00024415
-9.15999960	-0.00427259	-0.00271615	0.00344859	-0.00311289
-9.15199960	-0.00714133	-0.00173956	0.00024415	-0.00112919
-9.14399960	-0.00375378	-0.00198370	-0.00161748	0.00085452
-9.13599960	-0.00338756	0.00000000	-0.00064089	-0.00201422
-9.12799960	-0.00314341	0.00109867	-0.00088504	-0.00186163
-9.11999960	-0.00451674	0.00097659	0.00308237	0.00048830
-9.11199960	-0.00338756	-0.00125126	-0.00198370	0.00036622
-9.10399960	-0.00289926	-0.00210578	-0.00769066	0.00061037
-9.09599960	-0.00289926	-0.00210578	-0.00384533	0.00158696
-9.08799960	-0.00451674	0.00170904	0.00555437	-0.00149541
-9.07999960	-0.00549333	-0.00149541	0.00628681	-0.00201422
-9.07199960	-0.00314341	-0.00039674	0.00024415	-0.00076296
-9.06399961	-0.00399793	-0.00112919	-0.00781274	0.00097659
-9.05599961	-0.00601215	-0.00173956	-0.00137333	0.00344859
-9.04799961	-0.00350963	-0.00051881	0.00222785	-0.00186163
-9.03999961	-0.00189215	0.00158696	0.00296030	-0.00173956
-9.03199961	-0.00100711	-0.00347911	-0.00299081	-0.00250252
-9.02399961	-0.00750755	-0.00299081	-0.00161748	0.00308237
-9.01599961	-0.00326548	-0.00323496	0.00170904	0.00344859
-9.00799961	-0.00387585	-0.00247200	0.00369274	-0.00149541
-8.99999961	-0.00625629	0.00207526	0.00207526	-0.00262459
-8.99199961	-0.00601215	0.00134281	-0.00088504	-0.00125126
-8.98399961	-0.00289926	-0.00579852	-0.00323496	0.00170904
-8.97599961	-0.00412000	-0.00137333	-0.00360118	0.00704978
-8.96799961	-0.00427259	-0.00125126	0.00195319	0.00296030
-8.95999961	-0.00262459	-0.00125126	0.00433363	-0.00473037
-8.95199961	-0.00262459	-0.00112919	0.00024415	-0.00387585
-8.94399961	-0.00613422	0.00122074	-0.00299081	0.00259407
-8.93599961	-0.00613422	-0.00247200	0.00146489	0.00271615
-8.92799961	-0.00589007	-0.00088504	-0.00149541	0.00000000
-8.91999961	-0.00625629	-0.00027467	-0.00051881	-0.00436415
-8.91199961	-0.00088504	-0.00210578	-0.00088504	-0.00027467
-8.90399961	-0.00250252	0.00000000	-0.00051881	0.00122074
-8.89599961	-0.00213630	-0.00198370	-0.00646992	0.00259407
-8.88799961	-0.00164800	0.00109867	-0.00238044	0.00134281
-8.87999961	-0.00137333	0.00231941	-0.00064089	-0.00039674
-8.87199961	-0.00549333	-0.00299081	-0.00161748	-0.00412000
